transaction_id,client_id,description,amount,date,transaction_type,category
TXN776647,C0280,amazon pay,36828.83,23-11-2025,Debit,Shopping
TXN588509,C0102,mall purchase 28757,25277.66,28-01-2024,Debit,Shopping
TXN732053,C0217,investment txn,37945.19,12-06-2024,Debit,Investment
TXN101415,C0184,HOTSTAR,5128.47,24-01-2025,debit,Entertainment
TXN082628,C0283,gaming purchase 60317,6258.81,22-01-2025,DR,Entertainment
TXN238969,C0149,monthly salary,31006,08-11-2025,Credit,Salary
TXN170556,C0190,FLIPKART*,31791.51,08-01-2025,debit,Shopping
TXN665823,C0088,spotify,32408.81,15-09-2025,DR,Entertainment
TXN717871,C0167,SIP DEBIT,34414.33,12-08-2024,DR,Investment
TXN957493,C0291,zomato payment,13401.69,04-08-2024,debit,Food
TXN146414,C0127,spotify,22953.42,28-09-2024,DR,Entertainment
TXN145052,C0261,stock purchase,19982.04,12-08-2024,DR,Investment
TXN442667,C0033,makemytrip,31379.75,27-11-2025,Debit,Travel
TXN713329,C0059,lab test,48554.5,12-01-2024,debit,Healthcare
TXN003403,C0135,stock purchase,21749.57,09-04-2025,debit,Investment
TXN638552,C0102,SIP debit 82059,42086.63,03-06-2025,debit,Investment
TXN339903,C0251,RAPIDO,45926.3,05-09-2025,DR,Transport
TXN920660,C0291,SWIGGY ORD,11987.83,03-09-2024,debit,Food
TXN691799,C0244,amazon pay,38296.4,11-05-2024,DR,Shopping
TXN791953,C0103,SIP debit,48218.86,06-07-2025,debit,Investment
TXN473418,C0062,payroll transfer,82422,13-06-2025,Credit,Salary
TXN074442,C0031,WATER-PAY 72703,29430.24,08-01-2024,Debit,Bills
TXN701475,C0249,electricity bill,25717.52,12-10-2024,Debit,Bills
TXN822734,C0243,MOBILE RECHARGE,28819.06,05-09-2024,DR,Bills
TXN905799,C0028,MEDPLUS,21190.46,23-04-2025,debit,Healthcare
TXN562337,C0230,amazon pay,12447.84,13-07-2024,Debit,Shopping
TXN102665,C0026,FUEL STATION,22167.67,17-07-2025,Debit,Transport
TXN504741,C0110,mutual fund,8332.23,12-05-2025,Debit,Investment
TXN299106,C0217,APOLLO PHARMACY 51273,46327.37,10-04-2025,debit,Healthcare
TXN063919,C0161,INVESTMENT TXN,28967.43,09-07-2025,Debit,Investment
TXN084003,C0096,SWIGGY ORD,7888.49,04-06-2025,DR,Food
TXN258176,C0297,MALL PURCHASE,6011.93,06-08-2025,debit,Shopping
TXN980111,C0134,insurance premium,28270.04,19-11-2024,DR,Insurance
TXN331536,C0038,gas bill,32282.13,13-04-2025,DR,Bills
TXN530459,C0136,hotel bill,3681.57,06-08-2024,Debit,Food
TXN874245,C0279,RAPIDO,14263.67,24-03-2025,debit,Transport
TXN984540,C0069,salary credit,111951,16-04-2024,Credit,Salary
TXN295443,C0108,salary credit,45374,05-10-2024,Credit,Salary
TXN096782,C0217,spotify,24436.82,22-02-2024,DR,Entertainment
TXN169431,C0227,SALARY CREDIT,108507,25-09-2024,Credit,Salary
TXN610806,C0283,investment txn 90673,27288.6,13-01-2025,Debit,Investment
TXN715199,C0128,FUEL STATION,44948.25,03-08-2024,Debit,Transport
TXN970734,C0122,myntra order,48692.37,07-06-2024,debit,Shopping
TXN841205,C0128,ola ride 96642,39123.68,25-02-2025,debit,Transport
TXN209268,C0236,SAL CR 5175,86694,15-08-2024,Credit,Salary
TXN417822,C0169,hotstar,1202.75,16-07-2024,Debit,Entertainment
TXN419094,C0275,salary credit,109080,05-06-2025,Credit,Salary
TXN040116,C0056,NETFLIX,29037.87,28-09-2024,Debit,Entertainment
TXN121264,C0198,policy payment,30318.32,07-06-2025,debit,Insurance
TXN720222,C0101,insurance premium,26005.62,05-07-2025,Debit,Insurance
TXN889209,C0064,MOVIE TICKET,31165.31,10-11-2025,debit,Entertainment
TXN581344,C0066,monthly salary,116384,29-10-2024,Credit,Salary
TXN596751,C0155,broadband recharge,45142.22,22-09-2025,DR,Bills
TXN487576,C0227,apollo pharmacy,30340.95,25-11-2024,DR,Healthcare
TXN297572,C0264,goibibo,8501.18,27-03-2024,DR,Travel
TXN845743,C0102,POLICY PAYMENT,33646.33,18-08-2024,Debit,Insurance
TXN477539,C0213,UBER TRIP,42489.89,15-03-2024,DR,Transport
TXN721025,C0003,insurance premium,12214.34,02-11-2025,debit,Insurance
TXN584483,C0128,AJIO txn,25907.53,21-02-2024,DR,Shopping
TXN332712,C0227,AJIO TXN,49394.86,01-09-2025,DR,Shopping
TXN779780,C0244,LIC premium,22306.76,11-06-2024,DR,Insurance
TXN508137,C0123,flight booking,38295.37,17-06-2025,debit,Travel
TXN335240,C0277,PAYROLL TRANSFER,60614,09-12-2024,Credit,Salary
TXN435021,C0209,FLIPKART*,35326.83,06-03-2024,Debit,Shopping
TXN992018,C0011,gaming purchase 55169,45243.83,21-08-2025,debit,Entertainment
TXN564366,C0280,policy payment,37678.69,05-03-2025,debit,Insurance
TXN701365,C0208,insurance premium,1470.66,10-12-2024,debit,Insurance
TXN620645,C0289,fuel station,1367.78,07-02-2025,DR,Transport
TXN343255,C0109,SWIGGY ORD 60615,2533.23,23-01-2025,Debit,Food
TXN264526,C0042,flight booking,37605.45,07-03-2025,debit,Travel
TXN042214,C0016,makemytrip 45970,32514.2,29-10-2025,Debit,Travel
TXN119947,C0289,WATER-PAY,6328.52,16-11-2025,Debit,Bills
TXN815574,C0084,broadband recharge,30302.52,27-04-2024,Debit,Bills
TXN952135,C0193,salary credit,100470,24-11-2025,Credit,Salary
TXN810005,C0155,MEDPLUS,12157.61,14-12-2025,DR,Healthcare
TXN693656,C0190,insurance premium,17373.24,14-03-2025,Debit,Insurance
TXN666460,C0236,mall purchase 55157,5294.83,05-01-2025,debit,Shopping
TXN812271,C0248,FUEL STATION,13518.72,05-07-2025,DR,Transport
TXN292478,C0231,hotel booking,42588.62,29-03-2024,debit,Travel
TXN190673,C0250,broadband recharge,1454.43,28-11-2024,debit,Bills
TXN582790,C0006,gas bill,35065.16,09-10-2024,DR,Bills
TXN724157,C0244,SIP DEBIT,27767.71,03-09-2024,debit,Investment
TXN696213,C0298,hotel booking 29145,34595.52,09-11-2024,debit,Travel
TXN736997,C0233,movie ticket,27528.42,26-12-2024,DR,Entertainment
TXN778968,C0275,monthly salary 25342,66359,02-05-2024,Credit,Salary
TXN625781,C0145,ola ride,29487.55,21-06-2025,DR,Transport
TXN132732,C0141,FLIPKART*,727.14,30-06-2025,debit,Shopping
TXN107571,C0007,SWIGGY ORD,31900.73,17-05-2025,Debit,Food
TXN986777,C0245,policy payment,48275.57,15-09-2024,Debit,Insurance
TXN850545,C0289,amazon pay 82602,2699.38,01-06-2024,DR,Shopping
TXN829152,C0116,salary credit 54648,104471,02-09-2025,Credit,Salary
TXN596252,C0031,investment txn,49501.76,08-11-2024,DR,Investment
TXN085132,C0081,LIC PREMIUM,10567.04,07-11-2025,DR,Insurance
TXN492739,C0150,WATER-PAY,22536.18,31-08-2025,debit,Bills
TXN968791,C0136,zomato payment,3577.56,27-08-2024,debit,Food
TXN156227,C0137,LIC premium,27237.23,25-10-2025,Debit,Insurance
TXN965941,C0148,UBER TRIP,37452.91,05-08-2025,DR,Transport
TXN566212,C0253,makemytrip,47134.96,27-05-2025,debit,Travel
TXN027122,C0047,makemytrip,16129.63,13-09-2024,DR,Travel
TXN493356,C0266,mobile recharge 88217,28820.82,28-06-2024,debit,Bills
TXN492842,C0179,FLIGHT BOOKING,40715.96,03-04-2024,DR,Travel
TXN302219,C0206,hospital fee 21179,20594.02,22-05-2025,debit,Healthcare
TXN906925,C0264,mutual fund,5813.76,17-02-2025,debit,Investment
TXN655789,C0227,restaurant txn 68052,31139.24,25-05-2025,debit,Food
TXN127325,C0015,zomato payment 37852,44044.71,11-05-2025,debit,Food
TXN235616,C0059,insurance premium,27621.53,05-04-2024,Debit,Insurance
TXN286707,C0213,makemytrip,14607.24,23-12-2025,DR,Travel
TXN532930,C0070,hotel booking,9546.71,05-09-2025,debit,Travel
TXN280151,C0002,myntra order,46713.73,03-06-2025,debit,Shopping
TXN907292,C0077,monthly salary,111499,16-05-2025,Credit,Salary
TXN911844,C0097,hotel booking,18872.96,25-11-2024,DR,Travel
TXN739486,C0196,mobile recharge,2201.49,29-04-2025,debit,Bills
TXN916656,C0226,medplus 65936,16613.1,12-04-2024,DR,Healthcare
TXN078464,C0241,mall purchase 18994,43549.23,07-06-2024,debit,Shopping
TXN893745,C0274,monthly salary,35527,02-12-2024,Credit,Salary
TXN647454,C0036,hospital fee,43621.7,06-02-2024,debit,Healthcare
TXN738084,C0052,gas bill,48917.32,10-10-2025,debit,Bills
TXN307619,C0184,goibibo,16232.25,27-02-2024,Debit,Travel
TXN178241,C0090,MOVIE TICKET,34096.38,03-07-2024,DR,Entertainment
TXN150070,C0119,mall purchase,24893.41,20-08-2025,Debit,Shopping
TXN573150,C0081,flight booking,45062.45,24-11-2025,debit,Travel
TXN723847,C0129,AJIO txn,31954.16,10-03-2025,debit,Shopping
TXN599705,C0184,FLIGHT BOOKING,5350.53,25-01-2025,debit,Travel
TXN593420,C0026,policy payment,19802.37,09-01-2024,DR,Insurance
TXN636554,C0181,LIC premium,38791.53,23-08-2024,debit,Insurance
TXN879061,C0071,WATER-PAY,38378.19,28-11-2025,DR,Bills
TXN094512,C0152,amazon pay,18255.76,14-05-2024,DR,Shopping
TXN870814,C0085,MOVIE TICKET 70801,26552,06-10-2024,debit,Entertainment
TXN491082,C0039,payroll transfer,69396,27-04-2024,Credit,Salary
TXN383543,C0047,ola ride,48364.14,24-07-2025,debit,Transport
TXN612956,C0196,apollo pharmacy 48411,37455.6,25-09-2024,DR,Healthcare
TXN343940,C0114,netflix,44214.06,28-07-2025,DR,Entertainment
TXN992228,C0020,AJIO txn,5851.46,16-02-2024,debit,Shopping
TXN407525,C0233,PAYROLL TRANSFER,95457,18-05-2024,Credit,Salary
TXN103832,C0251,gaming purchase,44272.98,01-11-2025,Debit,Entertainment
TXN466298,C0121,policy payment,18539.09,30-03-2025,DR,Insurance
TXN289283,C0098,netflix,17946.52,11-02-2025,DR,Entertainment
TXN053036,C0171,AJIO TXN,29865.36,22-01-2024,DR,Shopping
TXN852548,C0120,WATER-PAY,10373.73,09-08-2024,DR,Bills
TXN136307,C0277,spotify,42923.14,28-05-2024,debit,Entertainment
TXN375645,C0122,SAL CR,42275,16-01-2024,Credit,Salary
TXN119170,C0033,POLICY PAYMENT,37091.07,22-06-2025,Debit,Insurance
TXN991341,C0023,hotel booking,22611.23,14-08-2024,Debit,Travel
TXN446981,C0056,stock purchase,49929.37,15-02-2025,Debit,Investment
TXN654645,C0300,HOTEL BOOKING 79830,3302.8,08-10-2024,Debit,Travel
TXN451097,C0051,stock purchase,22696.7,11-09-2025,debit,Investment
TXN355396,C0233,mall purchase,44406.79,27-02-2025,debit,Shopping
TXN999915,C0079,lab test,33262.09,18-01-2025,debit,Healthcare
TXN851202,C0067,MAKEMYTRIP 56706,37234.56,16-01-2025,Debit,Travel
TXN370775,C0217,mutual fund,33507.26,24-02-2025,debit,Investment
TXN688638,C0247,DOMINOS#,25380.48,07-06-2024,DR,Food
TXN237145,C0220,electricity bill,38135.03,10-08-2025,Debit,Bills
TXN286545,C0159,mutual fund,13387.04,03-07-2024,DR,Investment
TXN148767,C0016,HOTSTAR,32874.08,12-03-2024,DR,Entertainment
TXN756649,C0167,mall purchase,7887.32,15-11-2024,debit,Shopping
TXN285321,C0227,LIC PREMIUM 20732,2507.13,24-03-2024,DR,Insurance
TXN361940,C0221,lab test,37752.06,26-04-2024,Debit,Healthcare
TXN231231,C0203,myntra order,33363.29,16-02-2024,DR,Shopping
TXN303508,C0168,INSURANCE PREMIUM,38372.13,18-09-2024,Debit,Insurance
TXN241289,C0257,amazon pay,19022.77,21-12-2025,Debit,Shopping
TXN965909,C0040,STOCK PURCHASE,21822.26,15-04-2025,Debit,Investment
TXN424708,C0011,gaming purchase,20896.34,27-04-2024,DR,Entertainment
TXN457926,C0055,spotify,45990.09,31-03-2024,DR,Entertainment
TXN232336,C0171,broadband recharge,43528.81,13-12-2024,debit,Bills
TXN368155,C0076,UBER TRIP 66940,45298.02,23-12-2024,Debit,Transport
TXN079014,C0091,ELECTRICITY BILL,7660.43,02-11-2025,DR,Bills
TXN674226,C0166,hotel booking,34063.05,01-08-2025,debit,Travel
TXN620149,C0029,spotify,15154.97,08-10-2024,DR,Entertainment
TXN080459,C0047,GAMING PURCHASE,2863.36,20-10-2024,Debit,Entertainment
TXN471580,C0293,LIC premium,47712.49,12-02-2024,DR,Insurance
TXN749015,C0044,gas bill,22537.14,17-12-2024,Debit,Bills
TXN166458,C0187,SIP DEBIT,26212.95,16-09-2025,debit,Investment
TXN678749,C0172,hotstar,29902.34,08-10-2025,DR,Entertainment
TXN950370,C0077,MYNTRA ORDER,12614.75,03-11-2025,debit,Shopping
TXN694300,C0201,netflix 45951,48385.47,16-12-2025,debit,Entertainment
TXN852687,C0066,IRCTC booking 73359,32181.79,02-12-2024,debit,Transport
TXN189020,C0110,mutual fund,931.16,12-11-2024,debit,Investment
TXN532352,C0277,MOVIE TICKET,3876.71,13-04-2024,Debit,Entertainment
TXN161746,C0084,mutual fund,6569.83,20-01-2025,DR,Investment
TXN709218,C0122,IRCTC booking,2203.75,08-01-2025,debit,Transport
TXN847904,C0241,flight booking,26709.88,12-11-2024,Debit,Travel
TXN815923,C0196,gas bill,23094.77,15-10-2024,debit,Bills
TXN054715,C0247,investment txn,6937.16,13-09-2024,DR,Investment
TXN087950,C0083,gaming purchase,42561.28,18-10-2024,DR,Entertainment
TXN856376,C0231,payroll transfer 57440,37021,15-08-2024,Credit,Salary
TXN393125,C0115,netflix,11804.19,24-03-2024,debit,Entertainment
TXN144284,C0020,DOMINOS#,16777.81,29-05-2024,DR,Food
TXN645240,C0003,payroll transfer 92576,86487,04-04-2025,Credit,Salary
TXN553409,C0217,amazon pay,47012.49,15-09-2025,DR,Shopping
TXN479319,C0033,myntra order 31352,31954.81,29-09-2025,debit,Shopping
TXN305421,C0220,AJIO txn 67651,12112.07,27-05-2024,DR,Shopping
TXN548914,C0185,restaurant txn,33225.28,28-03-2024,Debit,Food
TXN915755,C0241,mall purchase,27716.51,03-02-2025,DR,Shopping
TXN361552,C0124,hotel bill,17867.55,10-03-2024,Debit,Food
TXN853026,C0090,mall purchase,17627.91,12-12-2024,Debit,Shopping
TXN038781,C0151,hotel booking,35807.93,13-04-2025,Debit,Travel
TXN417569,C0279,electricity bill,46669.88,11-06-2025,debit,Bills
TXN907856,C0170,FLIGHT BOOKING,17861.57,18-02-2024,debit,Travel
TXN938096,C0198,salary credit,77431,26-03-2025,Credit,Salary
TXN762401,C0218,spotify,13350.7,25-03-2024,DR,Entertainment
TXN083959,C0168,AJIO txn,14702.45,15-04-2024,DR,Shopping
TXN465472,C0180,monthly salary,46842,07-12-2025,Credit,Salary
TXN670533,C0030,makemytrip,49907.57,08-10-2024,DR,Travel
TXN149716,C0225,AJIO txn,8016.14,01-02-2024,DR,Shopping
TXN033959,C0079,ZOMATO PAYMENT,18120.29,03-08-2025,debit,Food
TXN417369,C0161,flight booking,6902,10-01-2025,DR,Travel
TXN405786,C0288,SAL CR 24485,90410,14-06-2025,Credit,Salary
TXN727692,C0252,myntra order,49818.33,19-10-2024,Debit,Shopping
TXN849885,C0164,ELECTRICITY BILL 22730,22266.66,30-03-2024,DR,Bills
TXN744032,C0090,netflix,42571.08,29-12-2025,debit,Entertainment
TXN027561,C0185,gaming purchase,11852.07,20-05-2025,Debit,Entertainment
TXN068942,C0159,stock purchase,30605.18,29-03-2024,Debit,Investment
TXN673541,C0038,lab test,3706.06,20-11-2024,DR,Healthcare
TXN805078,C0067,hotel booking,31996.9,05-07-2024,DR,Travel
TXN980144,C0116,apollo pharmacy,8249.56,26-11-2024,debit,Healthcare
TXN287783,C0065,gaming purchase,9831.17,18-07-2025,debit,Entertainment
TXN179517,C0173,salary credit,101106,06-06-2024,Credit,Salary
TXN682760,C0108,insurance premium 6058,38555.7,28-09-2024,DR,Insurance
TXN506405,C0126,policy payment 82303,14497.79,05-11-2024,DR,Insurance
TXN487003,C0105,hospital fee,21991.48,10-05-2025,Debit,Healthcare
TXN418085,C0067,GAMING PURCHASE,36715.3,19-12-2024,debit,Entertainment
TXN259962,C0073,gaming purchase,6143.65,05-04-2025,debit,Entertainment
TXN852994,C0168,amazon pay,20918.37,12-06-2024,DR,Shopping
TXN522988,C0158,LIC premium,49798.55,23-04-2025,debit,Insurance
TXN611681,C0181,MAKEMYTRIP,48335,08-08-2024,debit,Travel
TXN562762,C0005,SWIGGY ORD,33632.58,19-10-2024,DR,Food
TXN047441,C0206,AJIO TXN,38197.56,09-01-2025,debit,Shopping
TXN472231,C0282,restaurant txn,3695.12,31-05-2025,debit,Food
TXN984559,C0188,SALARY CREDIT 49015,69444,25-07-2025,Credit,Salary
TXN748256,C0171,ola ride,2284.26,20-05-2024,Debit,Transport
TXN334003,C0084,HOTEL BOOKING,16411.73,19-09-2025,Debit,Travel
TXN590269,C0154,hospital fee,26626.34,26-12-2025,DR,Healthcare
TXN659828,C0014,makemytrip,29193.43,05-12-2025,debit,Travel
TXN611869,C0246,policy payment,28890.17,22-02-2024,DR,Insurance
TXN253962,C0017,IRCTC booking,7405.83,28-11-2025,debit,Transport
TXN213796,C0211,LIC PREMIUM 41216,7588.53,08-12-2025,debit,Insurance
TXN217414,C0288,investment txn,35294.65,15-06-2025,Debit,Investment
TXN358956,C0280,movie ticket,22993.98,29-06-2025,Debit,Entertainment
TXN235791,C0153,hotstar,13964.74,01-11-2024,Debit,Entertainment
TXN587714,C0141,SAL CR,87888,23-12-2024,Credit,Salary
TXN810617,C0075,salary credit,76712,19-12-2024,Credit,Salary
TXN687837,C0132,salary credit,70398,28-03-2025,Credit,Salary
TXN114533,C0123,goibibo,34814.64,20-05-2024,DR,Travel
TXN433378,C0170,electricity bill,11657.17,12-04-2024,DR,Bills
TXN500642,C0103,makemytrip 72235,20357.23,02-05-2025,Debit,Travel
TXN243501,C0274,monthly salary 11825,110498,10-08-2025,Credit,Salary
TXN826237,C0254,zomato payment,49858.65,10-02-2025,Debit,Food
TXN298385,C0233,RAPIDO 74543,5382.89,09-12-2024,DR,Transport
TXN346748,C0084,investment txn 66188,13656.4,25-04-2024,debit,Investment
TXN184020,C0208,flight booking 44285,28397.71,16-07-2024,debit,Travel
TXN339321,C0128,HOSPITAL FEE,49084.63,03-05-2025,Debit,Healthcare
TXN610755,C0294,DOMINOS#,47702.66,05-11-2024,debit,Food
TXN321710,C0082,DOMINOS#,33395.95,21-04-2025,Debit,Food
TXN229773,C0069,hospital fee,18389.84,14-08-2024,debit,Healthcare
TXN957137,C0242,goibibo,20803.96,16-07-2025,debit,Travel
TXN551034,C0229,SIP debit,43659.29,24-03-2024,DR,Investment
TXN211977,C0294,STOCK PURCHASE,41442.13,01-06-2025,Debit,Investment
TXN751743,C0299,SIP DEBIT,5829.68,29-07-2024,debit,Investment
TXN435605,C0234,makemytrip,22682.55,09-06-2025,Debit,Travel
TXN266818,C0002,insurance premium,36169.54,09-02-2025,debit,Insurance
TXN979982,C0036,MOBILE RECHARGE,3206.72,02-03-2024,DR,Bills
TXN440782,C0192,makemytrip,38296.07,23-10-2025,Debit,Travel
TXN917037,C0277,lab test,4030.89,08-11-2025,debit,Healthcare
TXN875374,C0002,RAPIDO,26451.55,16-08-2024,debit,Transport
TXN259536,C0236,DOMINOS#,26606.04,23-08-2024,debit,Food
TXN848800,C0215,spotify,38279.19,02-02-2024,DR,Entertainment
TXN737450,C0025,insurance premium 77949,22333.12,19-11-2025,Debit,Insurance
TXN146943,C0258,electricity bill,37724.2,27-02-2024,Debit,Bills
TXN626963,C0165,SAL CR,66799,14-08-2025,Credit,Salary
TXN288520,C0032,gas bill,11067.72,03-11-2024,DR,Bills
TXN987325,C0196,SIP debit,2363.27,18-12-2024,debit,Investment
TXN496521,C0124,stock purchase,18835.48,04-07-2025,debit,Investment
TXN584358,C0272,gas bill 60789,28128.05,02-03-2025,Debit,Bills
TXN888284,C0190,fuel station,3971.94,05-04-2025,DR,Transport
TXN632210,C0021,mall purchase,18870.86,11-09-2025,debit,Shopping
TXN219037,C0171,FLIPKART*,27951.35,05-05-2025,DR,Shopping
TXN958862,C0125,salary credit,40376,05-05-2025,Credit,Salary
TXN399153,C0239,LIC premium,16094.32,16-10-2024,DR,Insurance
TXN798626,C0164,stock purchase,23310.88,25-04-2025,debit,Investment
TXN580190,C0300,gas bill 29102,7313.22,24-09-2024,DR,Bills
TXN873845,C0126,LIC premium,11516.33,06-08-2025,debit,Insurance
TXN483215,C0087,flight booking,32091.89,17-05-2025,DR,Travel
TXN672986,C0031,SPOTIFY,45846.63,09-07-2025,Debit,Entertainment
TXN144171,C0119,mutual fund 87684,38221.66,26-02-2025,Debit,Investment
TXN699144,C0248,FLIPKART*,3041.3,15-10-2025,debit,Shopping
TXN561763,C0147,MAKEMYTRIP,855.97,08-10-2024,Debit,Travel
TXN549858,C0077,restaurant txn,5368.68,08-04-2024,Debit,Food
TXN082858,C0192,WATER-PAY,13380.89,10-02-2025,debit,Bills
TXN685492,C0017,lab test,15012.73,23-03-2024,Debit,Healthcare
TXN179709,C0043,AJIO txn,31844.67,20-12-2025,Debit,Shopping
TXN240928,C0109,hotel booking,44741.66,13-02-2024,Debit,Travel
TXN590883,C0017,policy payment,46280.73,10-07-2025,DR,Insurance
TXN860779,C0204,RAPIDO,37617.68,30-12-2025,Debit,Transport
TXN347844,C0197,MYNTRA ORDER,33858.21,07-07-2025,debit,Shopping
TXN879415,C0039,UBER TRIP,4902.34,25-08-2024,Debit,Transport
TXN031065,C0140,gaming purchase,48446.65,30-11-2024,debit,Entertainment
TXN614335,C0195,hotel booking,21603.76,27-11-2025,debit,Travel
TXN398459,C0079,mall purchase,4120.26,06-06-2024,Debit,Shopping
TXN107198,C0068,hospital fee 40505,18008.68,03-10-2024,debit,Healthcare
TXN093973,C0182,FLIPKART*,20414.05,27-01-2024,DR,Shopping
TXN406638,C0044,mutual fund,636.78,27-02-2025,debit,Investment
TXN315760,C0138,SIP debit,8491.7,02-10-2024,debit,Investment
TXN378667,C0129,GOIBIBO,15001.62,19-03-2024,debit,Travel
TXN994914,C0203,broadband recharge,6791.77,07-01-2024,Debit,Bills
TXN623267,C0070,gaming purchase,16750.12,28-10-2025,debit,Entertainment
TXN186267,C0204,monthly salary,87784,17-11-2024,Credit,Salary
TXN394323,C0144,hotstar,39103.08,29-11-2024,DR,Entertainment
TXN714828,C0282,HOSPITAL FEE,49863.3,03-07-2024,DR,Healthcare
TXN858748,C0210,hotel bill,41567.46,11-03-2024,debit,Food
TXN827407,C0194,goibibo,7724.08,09-03-2025,DR,Travel
TXN438621,C0279,AJIO txn,26727.68,09-12-2025,debit,Shopping
TXN114683,C0128,DOMINOS#,31916.25,28-03-2024,DR,Food
TXN834909,C0221,spotify 84645,32344.25,05-12-2024,DR,Entertainment
TXN721069,C0295,AMAZON PAY,25949.51,17-08-2025,DR,Shopping
TXN158068,C0177,broadband recharge,29437.73,27-05-2025,DR,Bills
TXN365250,C0160,HOTEL BILL,5821.15,25-05-2024,Debit,Food
TXN757066,C0232,movie ticket,23818.6,24-03-2025,debit,Entertainment
TXN679446,C0056,netflix,1148.8,17-12-2024,Debit,Entertainment
TXN243119,C0208,ola ride,28001.25,18-04-2025,debit,Transport
TXN471414,C0220,ola ride,36874.67,21-07-2024,Debit,Transport
TXN605394,C0053,apollo pharmacy,40440.31,05-03-2024,DR,Healthcare
TXN553350,C0161,SIP debit,13132.42,16-05-2025,Debit,Investment
TXN647352,C0089,policy payment,17612.21,13-04-2025,debit,Insurance
TXN122630,C0094,salary credit,56270,08-11-2024,Credit,Salary
TXN194777,C0250,spotify,28748.81,09-03-2025,Debit,Entertainment
TXN649499,C0028,SIP debit,9371.19,06-04-2025,Debit,Investment
TXN684794,C0254,netflix,48192.18,01-06-2025,debit,Entertainment
TXN032360,C0113,lab test,8379.33,01-08-2025,debit,Healthcare
TXN593128,C0254,salary credit,47047,13-04-2025,Credit,Salary
TXN568374,C0022,mutual fund,41167.67,10-01-2025,DR,Investment
TXN471579,C0135,goibibo 85778,14899.49,03-02-2024,Debit,Travel
